,place,lat,long
228,Bukit Batok West Avenue 6 (Blk 117),1.349859,103.746658
229,Bukit Batok West Avenue 6 (Blk 130),1.3524857,103.7428273
230,Alexandra Road (Alessandrea),1.28680003,103.7963028
231,Henderson Crescent (Blk 103),1.2901735,103.821382
232,Henderson Crescent (Blk 104),1.289428,103.821391
233,Henderson Crescent (Blk 105),1.2900355,103.822693
234,Henderson Crescent (Blk 106),1.2894763,103.822253
235,Henderson Road (Blk 96A),1.289691,103.822923
236,Gangsa Road (Blk 165),1.3766354,103.765093
237,Hazel Park Terrace (Hazel Park Condominium),1.35652304,103.8085938
238,Petir Road (Maysprings),1.35652304,103.8085938
239,Bukit Batok East Avenue 5 (Blk 231),1.3492079,103.7542941
240,Bukit Batok East Avenue 5 (Blk 233),1.34874,103.75534
241,Bukit Batok East Avenue 5 (Blk 236),1.349357,103.755852
242,Bukit Batok East Avenue 5 (Blk 243),1.349643,103.756439
243,Bukit Batok East Avenue 5 (Blk 244),1.3493236,103.7571549
244,Bukit Batok East Avenue 5 (Blk 247),1.3497759,103.7569298
245,Mcnair Road (Blk 108B),1.320799,103.859116
246,Mcnair Road (Blk 111),1.321214,103.858468
247,Mcnair Road (Blk 120),1.31934,103.8574
248,Towner Road (Blk 114),1.3204294,103.8583024
249,Jalan Sembilang,1.3559019,103.8351466
250,Corporation Road (Lakeholmz),1.35652304,103.8085938
251,Lakepoint Drive (Lakepoint Condominium),40.65114554,-111.8700801
252,Ang Mo Kio Avenue 1 (Blk 222),1.3646862,103.8479769
253,Ang Mo Kio Avenue 1 (Blk 223),1.3646862,103.8479769
254,Ang Mo Kio Avenue 1 (Blk 225),1.3675,103.839493
255,Ang Mo Kio Avenue 1 (Blk 226C),1.36578,103.838102
256,Ang Mo Kio Avenue 3 (Blk 229),1.3692909,103.8383548
257,Jurong West Avenue 1 (Blk 542),1.351485,103.715427
258,Jurong West Street 42 (Blk 545),1.352344,103.715373
259,Jurong West Street 42 (Blk 546),1.35272,103.71521
260,Jurong West Street 42 (Blk 550),1.352527,103.715828
261,Jurong West Street 61 (Blk 656C),1.336115,103.699849
262,Jurong West Street 65 (Blk 657A),1.3356102,103.7005965
263,Pasir Ris Drive 6 (Blk 405),1.373264,103.955562
264,Pasir Ris Drive 6 (Blk 407),1.3736245,103.954514
265,Pasir Ris Drive 6 (Blk 414),1.372228,103.955989
266,Jurong West Street 61 (Blk 653C),1.335467,103.696892
267,Jurong West Street 61 (Blk 654A),1.336002,103.69812
268,Lorong 9 Geylang,1.3128088,103.8764091
269,Geylang Road,1.31508855,103.8922273
270,Lorong 20 Geylang,1.3104609,103.8814111
271,Lorong 22 Geylang,1.31056435,103.8821313
272,Alexandra View (Alex Residences),1.35652304,103.8085938
273,Bishan Street 22 (Blk 243),1.361007,103.844758
274,Bishan Street 22 (Blk 246),1.36091,103.843688
275,Bishan Street 22 (Blk 251),1.361919,103.844177
276,Bukit Batok Street 23,1.3398762,103.7570925
277,Balestier Road,1.32551348,103.8510666
278,Fan Yoong Road,1.33060895,103.7037091
279,Penjuru Place,1.31603155,103.7315301
280,Tuas South Street 12,1.30774508,103.6285937
281,Gul Road,1.30657015,103.6654662
282,Ang Mo Kio Avenue 1 (Blk 335),1.3646862,103.8479769
283,Jurong West Street 42 (Blk 419),1.350818,103.726857
284,Jurong West Street 42 (Blk 421),1.350411,103.726904
285,Jalan Bahagia (Blk 28),1.3260818,103.8585587
286,Jalan Bahagia (Blk 30),1.325809,103.857939
287,Jalan Bahagia (Blk 33),1.326493,103.858411
288,Whampoa Road (Blk 112),1.3260015,103.8567322
289,Ang Mo Kio Avenue 3 (Blk 103),1.370954,103.83914
290,Ang Mo Kio Avenue 4 (Blk 108),1.3709731,103.838274
291,Ang Mo Kio Avenue 4 (Blk 110),1.3704473,103.836896
292,Ang Mo Kio Avenue 1 (Blk 303),1.366459,103.845737
293,Ang Mo Kio Avenue 1 (Blk 320),1.3658292,103.8480491
294,Marsiling Rise (Blk 114),1.4388141,103.7810484
295,Marsiling Rise (Blk 116),1.4381576,103.7804698
296,Marsiling Rise (Blk 120),1.4391943,103.7805642
297,Marsiling Rise (Blk 124),1.4389748,103.7794431
298,Marsiling Rise (Blk 128),1.438662,103.779419
299,Marsiling Rise (Blk 129),1.437697,103.778312
300,Marsiling Rise (Blk 131),1.438661,103.779221
301,Marsiling Road (Blk 180C),1.4398529,103.7788149
302,Gangsa Road (Blk 152),1.375202,103.765877
303,Gangsa Road (Blk 154),1.375051,103.765138
304,Gangsa Road (Blk 155),1.375317,103.765032
305,Jurong Lake Link (Lakeville),1.34627755,103.7249975
306,Jurong West Street 41 (Blk 483),1.3473842,103.7253874
307,Bukit Batok East Avenue 4 (Blk 264),1.3499376,103.7590551
308,Bukit Batok East Avenue 5 (Blk 237),1.3494818,103.75534
309,Bukit Batok East Avenue 5 (Blk 248),1.350257,103.756606
310,Pasir Ris Drive 6 (Blk 408),1.37332,103.95377
311,Pasir Ris Drive 6 (Blk 416),1.3715494,103.9554011
312,Pasir Ris Drive 6 (Blk 417),1.3846675,103.973997
313,Pasir Ris Drive 6 (Blk 418),1.3719264,103.95439
314,Pasir Ris Drive 6 (Blk 419),1.372497,103.955698
315,Pasir Ris Drive 6 (Blk 423),1.370154,103.954928
316,Jurong West Central 1 (Blk 690),1.341329,103.706772
317,Jurong West Central 3 (Blk 697C),1.340398,103.708363
318,Bukit Batok Central (Blk 226),1.3487768,103.7531874
319,Bukit Batok Central (Blk 227),1.3500393,103.74881
320,Bukit Batok Central (Blk 642),1.3500392,103.74881
321,Bukit Batok Street 21 (Blk 224),1.3477431,103.7525514
322,Bukit Batok West Avenue 6 (Blk 107),1.3480286,103.7464148
323,Ang Mo Kio Avenue 1 (Blk 215),1.3602714,103.8522729
324,Ang Mo Kio Avenue 3 (Blk 213),1.367849,103.841096
325,Ang Mo Kio Avenue 3 (Blk 214),1.370977,103.843554
326,Mandalay Road (The Axis),1.3219751,103.8492687
327,Martaban Road (De Paradiso),1.32372092,103.8506299
328,Bukit Batok Street 24 (Blk 291B),1.342945,103.755681
329,Bukit Batok Street 24 (Blk 291D),1.34362,103.755224
330,Bukit Batok Street 24 (Blk 291E),1.3434851,103.7547838
331,Saint George's Lane (Blk 4C),1.3221977,103.8608334
332,Saint George's Road (Blk 3),1.3230356,103.8608579
333,Serangoon Road (Regent Residences),1.35652304,103.8085938
334,Pasir Ris Street 71 (Blk 779),1.3738103,103.9378766
335,Pasir Ris Street 71 (Blk 782),1.3735,103.938855
336,Jurong West Street 61 (Blk 655B),1.3355238,103.6975019
337,Jurong West Street 93 (Blk 988B),1.3364547,103.6956286
338,Lakepoint Drive (Caspian),1.340097,103.7168368
339,Lakepoint Drive (The Lakefront Residences),1.35652304,103.8085938
340,Woodlands Avenue 1 (Blk 352),1.431637,103.7843207
341,Woodlands Avenue 1 (Blk 355),1.4328528,103.784462
342,Woodlands Avenue 5 (Blk 361),1.434417,103.784833
343,Ang Mo Kio Avenue 3 (Blk 230),1.3688815,103.8379317
344,Serangoon Avenue 3 (Blk 323),1.351229,103.869284
345,Serangoon Avenue 3 (Blk 327),1.350516,103.868688
346,Serangoon Avenue 3 (Blk 328),1.3503721,103.8685149
347,Serangoon Avenue 3 (Blk 329),1.3498309,103.8683553
348,Serangoon Avenue 3 (Blk 330),1.3500948,103.8696401
349,Serangoon Avenue 3 (Blk 335),1.3494312,103.8709211
350,Serangoon Avenue 2 (Blk 232A),1.3542971,103.8685284
351,Serangoon Avenue 2 (Blk 238),1.3535456,103.8689498
352,Serangoon Avenue 2 (Blk 239),1.353272,103.868824
353,Serangoon Avenue 2 (Blk 318),1.352969,103.867345
354,Serangoon Avenue 3 (Blk 236),1.354264,103.869991
355,Serangoon Avenue 3 (Blk 237),1.3542651,103.870019
356,Serangoon Avenue 3 (Blk 241),1.3533141,103.8702294
357,Serangoon Avenue 3 (Blk 242),1.3526253,103.8694965
358,Jalan Hikayat,1.4377618,103.8265097
359,Jalan Kemuning,1.4434029,103.8258729
360,Jalan Salang,1.44093925,103.8253012
361,Sembawang Road,1.4458001,103.8245008
362,Lorong 6 Geylang,1.31011125,103.8766647
363,Kim Keat Close (Bliss Loft),1.35652304,103.8085938
364,Kim Keat Lane,1.3244096,103.8532022
365,Kim Keat Lane (Calarasi),1.3237707,103.8539643
366,Whampoa Drive (Blk 88),1.322698,103.854632
367,Marsiling Drive (Blk 6),1.4418582,103.7765027
368,Marsiling Lane (Blk 17),1.44269,103.777849
369,Marsiling Lane (Blk 18),1.4431823,103.777711
370,Hougang Avenue 3 (Blk 6),1.362661,103.8939863
371,Hougang Street 32 (Blk 377B),1.3623484,103.894445
372,Hougang Street 32 (Parc Vera),1.3465699,103.9572993
373,Jurong West Street 42 (Blk 544),1.3526905,103.715584
374,Jurong West Street 42 (Blk 547),1.352911,103.715111
375,Wellington Circle (Blk 501A),1.4518828,103.8208662
376,Wellington Circle (Blk 501B),1.2996271,103.8542661
377,Wellington Circle (Blk 509A),1.453041,103.820588
378,Ang Mo Kio Avenue 3 (Blk 422),1.3679229,103.8515572
379,Ang Mo Kio Avenue 3 (Blk 429),1.369117,103.8533474
380,Ang Mo Kio Avenue 10 (Blk 437),1.372702,103.853944
381,Guillemard Road (Guillemard View),1.30991045,103.8794631
382,Lorong 24 Geylang,1.31213375,103.8833558
383,Jurong East Street 31 (Blk 325),1.3487991,103.7289335
